rank,numero_cnj,pid,score,ano_cnj,classe_nome,composite,link
424,1013480-69.2024.4.01.3703,1398431,0.8634,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9534,https://voyager.was.dev.br/dashboard/processos/1398431/
425,1000903-25.2025.4.01.3606,1389372,0.8482,2025,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9532,https://voyager.was.dev.br/dashboard/processos/1389372/
426,1003870-64.2025.4.01.3502,2413627,0.8482,2025,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9532,https://voyager.was.dev.br/dashboard/processos/2413627/
427,1049599-43.2021.4.01.3700,1398456,0.9080,2021,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9530,https://voyager.was.dev.br/dashboard/processos/1398456/
428,1005656-29.2024.4.01.3907,1520983,0.8628,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9528,https://voyager.was.dev.br/dashboard/processos/1520983/
429,1004462-58.2023.4.01.3703,499571,0.8770,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9520,https://voyager.was.dev.br/dashboard/processos/499571/
430,1089435-52.2023.4.01.3700,1294028,0.8770,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9520,https://voyager.was.dev.br/dashboard/processos/1294028/
431,1001970-77.2024.4.01.3503,2415739,0.8619,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9519,https://voyager.was.dev.br/dashboard/processos/2415739/
432,1025725-48.2024.4.01.3304,2414755,0.8617,2024,CUMPRIMENTO DE SENTENçA CONTRA A FAZENDA PúBLICA,0.9517,https://voyager.was.dev.br/dashboard/processos/2414755/
433,1001443-41.2023.4.01.3704,1378956,0.8767,2023,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9517,https://voyager.was.dev.br/dashboard/processos/1378956/
434,1005039-64.2026.4.01.3304,1373851,0.8316,2026,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9516,https://voyager.was.dev.br/dashboard/processos/1373851/
435,1006459-24.2024.4.01.4000,1526989,0.8616,2024,CUMPRIMENTO DE SENTENÇA CONTRA A FAZENDA PÚBLICA,0.9516,https://voyager.was.dev.br/dashboard/processos/1526989/
